sec1,41.097913,-80.681065
sec2,41.09803,-80.681063
sec3,41.098122,-80.681072
sec4,41.098147,-80.681044
sec5,41.098149,-80.681011
sec6,41.098148,-80.680968
sec7,41.098146,-80.680921
sec8,41.09814,-80.680853
sec9,41.098134,-80.680771
sec10,41.098133,-80.680702
sec11,41.098122,-80.680643
sec12,41.098111,-80.680543
sec13,41.098099,-80.680456
sec14,41.098081,-80.680317
sec15,41.098045,-80.680089
sec16,41.098024,-80.679898
sec17,41.097982,-80.679671
sec18,41.097937,-80.679473
sec19,41.097895,-80.679275
sec20,41.097828,-80.679068
